split,column,missing,missing_rate
train,well_id,0,0.0
train,row_id,0,0.0
train,MD,0,0.0
train,X,0,0.0
train,Y,0,0.0
train,Z,0,0.0
train,ANCC,45634,0.008961452244634254
train,ASTNU,0,0.0
train,ASTNL,0,0.0
train,EGFDU,0,0.0
train,EGFDL,6067,0.0011914171619449537
train,BUDA,0,0.0
train,TVT,0,0.0
train,GR,1507972,0.29613049621434906
train,TVT_input,3783989,0.7430870999193874
test,well_id,0,0.0
test,row_id,0,0.0
test,MD,0,0.0
test,X,0,0.0
test,Y,0,0.0
test,Z,0,0.0
test,GR,3784,0.19686800894854586
test,TVT_input,14151,0.7362260028094272
