split,column,dtype,rows,missing,unique
train,well_id,object,5092255,0,773
train,row_id,int32,5092255,0,12141
train,MD,float64,5092255,0,13630
train,X,float64,5092255,0,3953513
train,Y,float64,5092255,0,4091924
train,Z,float64,5092255,0,317324
train,ANCC,float64,5092255,45634,310246
train,ASTNU,float64,5092255,0,313235
train,ASTNL,float64,5092255,0,304584
train,EGFDU,float64,5092255,0,296321
train,EGFDL,float64,5092255,6067,297216
train,BUDA,float64,5092255,0,303832
train,TVT,float64,5092255,0,281828
train,GR,float64,5092255,1507972,1279735
train,TVT_input,float64,5092255,3783989,267092
test,well_id,object,19221,0,3
test,row_id,int32,19221,0,7559
test,MD,float64,19221,0,8681
test,X,float64,19221,0,17868
test,Y,float64,19221,0,19206
test,Z,float64,19221,0,17521
test,GR,float64,19221,3784,5285
test,TVT_input,float64,19221,14151,4571
sample_submission,rows,n/a,14151,0,14151
