well_id,rows,tvt_min,tvt_max,gr_mean,gr_std
000d7d20,5278,11236.02,11756.12,94.43696140864859,18.627492583895215
00bbac68,7559,11406.63,12240.01,88.2551063050085,17.15743080130987
00e12e8b,6384,10606.18,11616.64,53.64242097598476,33.32140975882782
015fe0d2,5950,11747.26,12271.53,87.95722645593742,19.981056397814772
01869cd4,6850,11358.27,11767.75,86.9647526193267,20.827718774026184
01982c1d,5587,9927.92,10700.87,54.90613414052341,21.308534123593013
028d7b28,7761,11874.64,12437.08,54.052147230996866,20.26073618703031
02e7fe5a,6888,11356.13,12199.39,72.67285068383458,14.280408000979634
0390d174,6101,10114.85,10639.09,37.154960243973576,17.780883117977062
03a935ae,4430,12192.18,12837.98,87.37994979468664,18.062486504787827
044af7d1,6067,11313.18,11870.04,106.62011260841247,22.899522987543687
0498acab,6432,10650.9,11416.25,84.00343293204492,14.128515787208855
052d64df,4590,10522.89,11456.35,86.40260651810192,19.955017101700705
05948241,5428,10026.56,10841.42,82.33881685180816,19.40703959734467
059c8f24,7998,9556.52,10326.13,80.18145126593544,14.654418318954844
05a0ee4d,6098,11142.98,11929.08,101.0385944153001,21.16449983791452
060ab2b8,7818,10009.16,10970.71,84.49726166594928,15.01666630562586
06df5958,5039,10768.09,11343.09,77.59830360996145,15.39086625755864
071d7b45,4720,10128.63,10553.96,80.95587566061508,13.979114784038275
0849b4e2,7436,11050.65,11951.15,67.72704055962289,16.308447412998667
084d66f9,5632,10128.06,11028.1,74.55811337121682,18.936819287794496
08fecf00,7405,11229.55,12155.05,65.2465091638396,14.801035727508049
09053135,7715,10676.97,11486.67,78.62940786325447,19.2386092858231
09441b8d,7395,10351.68,11219.51,84.28635888707251,17.411652464932562
0955cd6c,7125,11438.21,12190.06,85.94274636343026,19.327863412731414
09ec2ca9,7824,10243.31,11059.02,113.8289974211726,19.935894407910045
0a57a29c,7194,10681.71,11210.09,81.71112351462098,14.685997435670343
0bbf5e67,6031,10180.13,10972.06,80.8986383238165,13.369714827877083
0be01c24,6385,10548.98,11322.65,77.24597430884938,14.461960097030932
0c1b160c,6714,10592.33,11180.9,109.44847543703627,19.22165048397823
0d99f8e4,7522,10649.92,11203.73,83.85728595454522,14.731084930508082
0dc5e64d,6191,10348.58,10915.05,71.32631137390689,31.945513266032712
0dc835f3,5279,10437.3,10694.58,47.66623552349785,21.617483554841296
0dd99dc5,9182,11765.77,12601.48,79.59618616521183,18.27597460506033
0e5e560d,4896,10218.990000000002,11029.34,123.38250251598876,24.43412363296119
109d9d70,5851,11590.81,12250.89,83.34920025917359,14.209435985865158
10a1281a,7353,10431.22,11265.570000000002,88.78719947587972,14.774665353098891
10b89021,7166,11311.08,12161.18,77.6907884128013,13.501841657068537
10be2420,5203,9970.88,10824.63,93.12049724779783,20.0406372672288
113011eb,4561,12163.79,12548.58,87.56766180065802,14.998979736591876
1131525f,5548,10764.52,11313.4,96.75491864689181,17.522709953943522
11d0f5ac,6378,10396.33,10945.1,85.05146332289891,12.314668309193918
12203f2a,4991,11224.52,12032.5,81.52253431062839,20.948557643589325
122bd617,6408,9795.14,10835.84,88.92398474691811,20.00710510047214
125be846,8033,10894.61,11470.87,80.90547026792414,16.473328261758393
1285a37b,7403,11880.83,12760.31,87.72837873973931,13.937413965775441
1295a25b,7037,11216.43,11771.84,84.27918469817953,16.785823078516277
12f0cd90,7431,10854.83,11406.14,91.51872126391679,18.512003010686914
137d1e44,6313,11887.070000000002,12792.81,83.32361401479568,15.560418012808183
13ce113d,4875,10284.0,11195.79,88.95064416193017,17.39778000366647
13f598d9,8934,11871.070000000002,12544.53,86.72034049226129,14.656570972142601
14a53cb3,8780,10384.42,11200.97,126.18386049192516,25.34337919704456
14ab73fb,5279,10652.3,11312.62,96.17692176582155,23.482098419877566
14ad5efb,7352,10850.09,11413.59,91.18465069119513,14.984795810678037
14fee784,6406,10343.29,10897.9,79.32488137291553,18.686416100515302
153552f5,6498,11322.13,12091.11,50.154665492841,24.649314287036457
1550491d,5929,10952.23,11383.94,95.17842972603852,15.515768398028243
155887bb,7062,11318.79,12321.1,93.52793456622777,18.64830830135702
1590af81,5231,10995.25,11457.62,82.08055866685496,18.35396020475191
15e154a1,7699,10222.41,10965.7,91.17826469110601,18.55447661275469
1619e2ca,6002,10777.41,11473.490000000002,82.43851314610694,19.429348035891916
16e4a047,5684,11154.66,12018.4,89.04784342076155,17.368803724736356
173ed841,6530,11972.59,12763.96,87.48973782095835,17.060524456268155
1770d7c6,9121,11784.08,12599.15,78.42534375852969,15.386195867444446
177622d7,4699,11745.83,12296.02,91.01473080051312,18.139693644291953
18d24f7b,6260,10554.77,11213.23,81.80558935324918,15.348827999997749
19137a89,7958,10349.41,11082.56,124.39725085242524,34.66970282185229
1944513c,6599,10433.02,11333.2,78.26458144325807,13.000806482542435
197f8a5a,8248,10045.1,10996.44,110.62121763855086,20.757370394704438
19871e7f,7152,11723.09,12563.17,88.35991745166726,17.124397782092444
198a5607,8094,10330.96,11182.62,113.47181812247695,24.339804500155616
19fb4f7b,7923,11663.9,12789.34,77.72182812609137,14.08805851309057
1a518997,6544,10429.25,11215.37,75.1363827190389,15.402423011186803
1a68190b,6502,11965.5,12823.96,77.84973002063583,16.331901212330028
1a730ac2,6049,10969.14,11417.12,86.17570362492418,18.508157615505006
1aaf1da0,6321,11158.88,11913.53,100.10344102267557,22.062027289710723
1b08ed48,7175,11543.46,12125.36,85.65970689272407,15.358612995534362
1b1c5372,5792,10327.61,10881.58,70.60811395085105,14.198320745977423
1b1eba53,6710,11793.02,12825.070000000002,83.27671658275099,19.499794875415905
1b6ba517,8611,11172.71,12066.7,88.504012246044,16.644898460610165
1b82b665,5364,10126.72,10853.320000000002,71.29599797355243,12.887403241734564
1bcb2fcf,6202,11929.01,12568.8,88.39206082841314,15.908450485744547
1beca81d,6650,10759.05,11377.0,85.78359257108828,18.34456821671498
1d3fbf02,4252,11288.85,11767.08,81.22812394587689,13.481586916357491
1d78281a,6810,11918.4,12805.9,85.78309870260075,19.08535212754976
1e30dedf,5474,10298.16,10655.44,41.17201912434775,14.137884891988422
1e5e3573,7126,11483.7,12237.97,81.01447696782026,16.48606221647052
1f9afacb,7054,11172.070000000002,11958.08,72.19457511920822,16.456570447834615
1fdbba44,6333,12337.28,12816.12,80.47190916358997,18.339885271972733
1fee2b62,6323,11747.1,12524.86,82.64705380079448,16.94564040650002
20096916,6880,11111.23,11917.42,109.66186234013028,22.464045533713143
200d233d,5896,11340.43,12059.31,83.27983794034893,14.4468509154438
201661b5,8136,11048.2,12213.54,78.99431570635429,16.67202225503618
203721ab,7235,10622.67,11209.59,80.29263154065183,13.157387685537048
20402d71,7930,10286.45,10967.51,113.77490905271381,18.94997209318296
2043abc5,8513,10897.61,11452.23,87.00291464211018,16.445181500561247
204cc64b,6454,11787.23,12569.320000000002,60.89501935553864,26.28117259327216
206b6193,8568,10719.490000000002,11472.14,88.20529978400582,16.98974616010293
2075c696,5580,10082.98,11222.56,83.67911921160895,16.37805686315209
22c5f93f,6919,11045.070000000002,11878.490000000002,113.82458575204613,24.236244021550277
230eaaa3,6451,10515.75,11484.240000000002,87.35362269796782,17.95189969512959
2364716c,6093,10204.01,10995.46,90.82178445876444,17.030207976666592
23b9beb0,8790,10893.58,11403.740000000002,80.03822336337225,14.790798237505758
24d8997e,5188,10473.35,11190.25,130.52726394702893,24.85653908479682
25050f63,7155,10252.06,10977.59,117.0880245891858,19.696369809360906
25939962,6071,11448.27,12274.45,89.57270123085114,19.329121120439844
25fd32b3,4546,10672.33,11196.52,129.59707853733173,29.43836760890678
261785ee,5512,10336.13,11320.17,58.65426524650125,21.433415022018533
264feceb,7408,10435.77,11209.35,82.3359671021726,13.123466841486673
26623a50,7479,10575.12,11387.02,97.56107221450735,18.901662179310144
26d3a96a,6465,11871.68,12647.26,71.74814851872438,19.26530701835449
272abef3,5682,10855.88,11455.98,97.26257219818383,20.79643027092272
27300fd5,7386,11794.58,12587.45,52.14230049680206,24.64788226373665
276b012a,6291,11965.77,12454.93,62.12627409277828,29.067907789473047
27c3155b,6941,11737.42,12757.37,72.18560108178809,19.485928669025984
27ebb9b9,7651,11120.89,11955.02,69.36140971071441,19.4329126648578
283269ac,4567,10534.55,11452.75,82.09755828996887,22.12046047990345
28473855,6620,9864.490000000002,10998.22,91.46771966685037,19.189483934621297
28f4eda9,6824,10544.87,10953.31,107.22711296408528,19.083573795402025
29b24409,7417,10464.39,11221.92,81.53741638505156,14.396875432713374
29de15c8,5164,11348.15,11992.54,81.26854083899379,14.748631030541752
2ab29395,3325,11853.56,12216.21,92.25647323329602,18.667921942062257
2ac7cb6b,6451,10349.29,10899.91,84.67017348196548,17.307847551421336
2acc78d4,6109,11085.6,11890.83,110.43809275667991,23.35111324354176
2b034622,6761,9467.05,10072.18,85.40875358369324,15.296485471452431
2b06ad65,5706,11448.94,11960.62,68.15142672159804,10.54613628577446
2b547943,5131,11478.63,12226.18,91.87128878271328,17.611860118152695
2be5c96a,5753,11192.78,11808.570000000002,82.30594846391918,21.746965228221466
2bff06cf,9174,10160.0,11048.66,76.28794226904584,14.463158605924038
2c0c4a4e,6719,10211.19,10981.41,105.04572503361085,22.98583997037581
2cee0cba,7335,10463.67,11246.740000000002,87.44390793290647,13.650590143480317
2d0c268a,6289,10541.83,11335.92,75.2077884959471,16.999366117896408
2d179ded,9225,9719.41,10715.19,80.03268348374255,15.292092077139099
2d196986,8316,10426.18,11209.96,125.21183425010364,22.496371502354496
